hour,Sum of fare_amount,time_category
19,132830.22999999998,Peak
18,131342.3000000003,Peak
20,126555.19000000002,Off-Peak
21,125072.92999999983,Off-Peak
22,124356.01000000018,Off-Peak
14,116450.66000000015,Off-Peak
13,114615.83000000003,Off-Peak
15,114442.60000000008,Off-Peak
23,113356.32999999999,Off-Peak
17,111735.4600000002,Peak
12,110368.29999999994,Off-Peak
11,105143.91000000008,Off-Peak
9,101956.12000000008,Peak
8,98625.20000000019,Peak
10,98361.71999999997,Off-Peak
16,97810.91000000025,Peak
0,91162.65999999996,Off-Peak
7,80203.26000000005,Peak
1,68657.04000000008,Off-Peak
2,50422.11000000002,Off-Peak
6,49211.0600000001,Off-Peak
3,38071.38999999998,Off-Peak
4,33380.48999999999,Off-Peak
5,31429.410000000003,Off-Peak
