month,time_category,Sum of fare_amount
5,Off-Peak,147860.19000000006
4,Off-Peak,139081.77000000037
6,Off-Peak,138294.12000000002
3,Off-Peak,137608.54999999946
10,Off-Peak,125599.2600000002
1,Off-Peak,125190.67000000035
2,Off-Peak,121226.21000000057
12,Off-Peak,119857.52000000008
11,Off-Peak,119643.63000000044
9,Off-Peak,118523.2000000004
7,Off-Peak,111801.82000000034
8,Off-Peak,106370.70000000045
5,Peak,72025.3300000001
4,Peak,70818.72000000002
3,Peak,70064.29000000012
6,Peak,67727.42000000019
10,Peak,64015.91000000001
1,Peak,63682.40000000012
9,Peak,61030.51000000004
2,Peak,60677.68000000002
11,Peak,57832.19000000017
12,Peak,57808.86000000004
7,Peak,56298.97000000003
8,Peak,52521.20000000015
