yearmonth,Sum of fare_amount
51151143,499
33491441,350
20013003,275
38680012,250
54143082,230
5471406,220
38390943,206.38
13085828,200
44677588,196
13732511,192.33
24176217,191.8
21510654,190.83
11328919,190
30903870,183
38458832,180
49601150,171.35
15547641,170
52217373,165.33
21519159,165
36070528,163
33945117,160
5664076,152.83
29213375,150.82999999999996
22951703,150
38243903,150
43911471,150
22294372,148.33
17110980,147.8
10807825,142
31796395,142
35793711,140.25
28579349,137
19707940,134.29
52362732,132.32999999999998
48830028,131.93
34209729,130.25
10218393,130
16635140,130
35110185,130
45355664,129.8
20578793,129.57
20059639,128.33
52675653,127.5
38313505,126.83
33046347,126.1
20334660,124
230309,121.33
5090056,121
19562599,120.3
53971844,120.3
54258637,120.08
1141087,120
1704133,120
9317302,120
31950093,119
12958583,116
4790254,115
31333682,113.66
23755434,113
52300154,113
34324196,112.57
52470297,112.15
7245963,111.75
52221197,110.25
1516904,110
12680125,110
37013742,110
53659256,109
21383883,108
6565676,107.5
22611662,106.5
45733516,106.5
12913048,105.33
50769508,105.29
28138818,105
46285769,104
4395702,103.66
13920561,103.58
19428710,102
26878575,101
28991713,100.9
2916487,100.58
30571119,100.5
47203528,100.3
9372284,100
25367439,100
29486743,100
42163005,100
43095977,100
52215480,100
43551754,99.2
7959639,99
43914423,99
47148049,98
51784856,97.29
37962124,97
17651961,96.83
26244587,96.8
16108332,96.5
52862581,96
23637589,95
48714880,95
55139876,95
46312681,94.95
24621476,94.75
29913110,94.66
21025222,94.3
8056008,94.25
47588547,94
42958659,93.58
30995120,93.5
2704889,93.3
41608728,93.3
41936982,93.16
35948960,92.5
39125332,92.5
2837764,92.4
8100820,92
11431189,92
42517048,91.75
50961608,91.75
35420471,91.7
20650968,91.5
23208196,91.25
3572057,91
41080531,90.75
49434291,90.25
16925597,90
27587916,90
49867305,90
24883029,89.8
55069023,89.75
31080238,89.65
34898877,89.5
14560545,89.33
15463573,89.1
38998593,89
51365938,89
14575341,88.83
18162991,88.8
2675050,88.4
34675055,88.25
5612287,88
21074001,88
17274077,87.25
9396622,87
23524198,87
32115144,86.9
48725694,86.6
6326256,86.5
48912457,86.5
46407147,86.4
46093047,86.25
25338497,86
30567176,86
48345404,86
52446801,86
33757867,85.83
29635464,85.75
4250437,85.4
28928831,85.25
47203680,85.25
27600942,85.16
277530,85
2099923,85
4638834,85
33892595,85
39837809,85
53097322,85
45838201,84.8
49132602,84.5
51462710,84.3
44903397,84
519486,83.91
36003413,83.8
2729991,83.75
24854638,83.75
53904800,83.75
51290238,83.25
53156731,83.15
36255239,83
14275434,82.75
7598135,82.5
6305869,82.25
2767462,82
30111476,82
42661161,82
41759008,81.9
24456114,81.81
5657148,81.55
43744761,81.5
987693,81.33
33415190,81.3
23690803,81.25
52259087,81
22396776,80.75
16689934,80.55
1947804,80.5
38459835,80.5
9527377,80.25
11758686,80.25
33423841,80.25
53972332,80.1
3272946,80
8607589,80
9705192,80
13869532,80
20887560,80
24987909,80
25627760,80
28926756,80
32421160,80
32790071,80
45076219,80
25249458,79.75
44281990,79.75
15600566,79.65
19494060,79.55
41141534,79.25
2710317,79
6069378,79
6454017,79
30264736,79
36731053,79
44838418,78.95
27146072,78.75
28283656,78.75
15304837,78.5
54383337,78.25
25508150,78.16
46101514,78.16
18285617,78.08
1674440,78
10618453,78
44446003,78
26318341,77.7
17121445,77.5
22224423,77.5
28103666,77.5
31094899,77.5
48601427,77.5
33759912,77.3
8361345,77.25
15719370,77.25
11014197,77
43156326,77
9507392,76.9
28540002,76.9
17524187,76.8
16894634,76.5
37819734,76.5
12327953,76.3
25018849,76.04
27221432,76
28225171,76
9894359,75.99
40740865,75.75
50354907,75.54
23117882,75.5
29064441,75.5
48448004,75.5
27029403,75.33
27206135,75.1
1081368,75
2443389,75
3028014,75
6742615,75
9793273,75
14858272,75
17033996,75
19698145,75
20393702,75
29062387,75
30490167,75
33106976,75
33250824,75
34531087,75
35159747,75
38389241,75
42739568,75
48172700,75
49793493,75
36379008,74.9
50093447,74.9
21841830,74.5
49678524,74.5
43203495,74.45
16905798,74.33
51956602,74.33
28992622,74.3
20611065,74.25
13059314,74
51744815,73.83
5842863,73.75
36983256,73.75
55048689,73.75
55244020,73.6
2100699,73.5
5665467,73.5
32258067,73.5
39206925,73.5
41061331,73.5
12388948,73.25
10320887,73.05
1628731,73
4021988,73
26467861,73
27441994,73
43840862,73
26533208,72.7
27901949,72.7
54673556,72.7
29026210,72.54
37906865,72.5
28829091,72.44
14780497,72.33
25593206,72.25
48313707,72.25
25204047,72.16
11818912,72
30363813,72
3275794,71.9
26662786,71.75
37213825,71.75
52577202,71.75
22844213,71.5
52917371,71.5
37114616,71.3
4950039,71.25
33393133,71.1
10936001,71
11349739,71
21598108,71
46895493,71
49523441,71
53184509,71
30166735,70.5
20785725,70.33
20834946,70.3
17409560,70.25
30803320,70.25
32936086,70.25
44410878,70.25
45129477,70.25
4731327,70
10179911,70
12178069,70
13371241,70
14719433,70
34934749,70
39440567,70
43979089,70
50193402,70
53683242,70
20837156,69.89999999999999
17494137,69.83
13759990,69.8
41056444,69.7
49719331,69.7
9633110,69.5
52056384,69.5
25658254,69.3
27988918,69.25
28085234,69.25
34511928,69.25
45783144,69.25
10665490,69.1
5482954,69
18447596,69
27694554,69
35484752,69
36162673,69
38429485,69
46569769,69
52919550,69
17123974,68.83
17215003,68.5
18051507,68.5
20890061,68.5
51869247,68.5
51877375,68.5
38173283,68.4
11197197,68.3
22243595,68.3
23620187,68.3
51547400,68.25
47281521,68.2
23262844,68.1
1386450,68
6762935,68
23199980,68
37601290,68
51585459,67.99
45205885,67.83
34285664,67.8
5330361,67.7
12622321,67.7
17447144,67.5
25858726,67.5
40943189,67.5
49113516,67.5
46492811,67.25
12711977,67.24000000000001
10589712,67.2
11215801,67.1
37532470,67
43740685,67
46091724,67
20816941,66.81
10716535,66.7
40683754,66.7
52889358,66.7
52987715,66.7
47456828,66.67
28529457,66.54
42236976,66.5
42760830,66.5
4933505,66.3
11772307,66.3
54216315,66.3
9441383,66
26920655,66
54632240,65.99
1822980,65.9
18830909,65.83
1137484,65.5
41904710,65.5
43004971,65.5
24888781,65.3
12149155,65.25
37692588,65.25
43102135,65.2
7476392,65.1
42214827,65.1
54476366,65.1
1705900,65
5677482,65
7586165,65
9684052,65
13263828,65
14305045,65
14320736,65
20683095,65
20731808,65
26213259,65
29372738,65
31034137,65
48411886,65
52783356,65
44916774,64.9
32703521,64.83
33893835,64.8
44957184,64.75
7546036,64.7
14427402,64.5
32331167,64.33
39223702,64.3
50168833,64.3
1838523,64.1
11100421,64.1
28924483,64
30828155,64
32493500,64
12318322,63.8
16238175,63.7
31014019,63.7
8895575,63.5
25773733,63.5
38313926,63.5
11309394,63.4
45167516,63.33
27057154,63.3
10338666,63.25
32297416,63.25
43224424,63.1
21643819,63.08
31081657,63.08
2927894,63
11665546,63
21454894,63
21901981,63
31081724,63
38119510,63
41659968,63
42778500,63
50353121,63
6574601,62.9
55092166,62.83
41177041,62.8
313741,62.75
14198349,62.7
16039263,62.66
20913805,62.66
32624808,62.66
10398919,62.6
25556116,62.6
7780851,62.5
45147770,62.5
49449930,62.5
53075270,62.5
11168705,62.4
7186890,62.3
11187511,62.3
16221319,62.3
38932031,62.3
13157082,62.25
2057386,62.2
35770707,62.16
16028027,62.1
15917261,62
19861056,62
27201386,62
34404891,62
36844581,62
48329946,62
49183319,62
4964939,61.99
44681212,61.9
47233572,61.9
54367487,61.83
151638,61.75
14490245,61.7
27823512,61.7
2782656,61.66
11097270,61.66
21371042,61.6
1178569,61.5
5572368,61.5
18758044,61.5
23186427,61.5
26545879,61.5
27082596,61.5
26128992,61.33
7969464,61.3
829386,61
3382783,61
5938057,61
8538083,61
13383914,61
15279707,61
18531780,61
23029170,61
42527597,61
49195285,61
22033500,60.9
33272764,60.83
43129482,60.65
16930799,60.6
25285830,60.6
10162340,60.5
26688943,60.5
41533578,60.5
50329322,60.5
51103077,60.5
13802486,60.45
2338554,60.3
3861614,60.25
41426585,60.25
47142847,60.25
49918289,60.25
28160331,60.16
3954294,60.1
26904040,60.04
4948743,60
6130500,60
6739896,60
7533217,60
14701829,60
15417650,60
15431961,60
18195350,60
20183958,60
23574845,60
